instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_INDEX|Nifty PSU Bank,3,Nifty PSU Bank,Nifty PSU Bank,6789.95,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY HEALTHCARE,,NIFTY HEALTHCARE,NIFTY HEALTHCARE,14015.15,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY500 MULTICAP,,NIFTY500 MULTICAP,NIFTY500 MULTICAP,15786.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty IT,26,Nifty IT,Nifty IT,44085.95,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MIDSML 400,,NIFTY MIDSML 400,NIFTY MIDSML 400,19579.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Media,39,Nifty Media,Nifty Media,1943.1,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 100,27,Nifty 100,Nifty 100,24983.1,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY100 Qualty30,,NIFTY100 Qualty30,NIFTY100 Qualty30,5740.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY LARGEMID250,,NIFTY LARGEMID250,NIFTY LARGEMID250,15712.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY SMLCAP 100,,NIFTY SMLCAP 100,NIFTY SMLCAP 100,18265.3,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Midcap 50,33,Nifty Midcap 50,Nifty Midcap 50,15635.35,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MICROCAP250,,NIFTY MICROCAP250,NIFTY MICROCAP250,24332.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 PR 2x Lev,32,Nifty50 PR 2x Lev,Nifty50 PR 2x Lev,13628.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty200 Alpha 30,,Nifty200 Alpha 30,Nifty200 Alpha 30,26025.05,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Fin Service,15,Nifty Fin Service,Nifty Fin Service,24046.8,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty FMCG,23,Nifty FMCG,Nifty FMCG,57838.25,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 Value 20,19,Nifty50 Value 20,Nifty50 Value 20,13863.9,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 TR 2x Lev,44,Nifty50 TR 2x Lev,Nifty50 TR 2x Lev,19894.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty50 Div Point,41,Nifty50 Div Point,Nifty50 Div Point,233.03,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty MNC,46,Nifty MNC,Nifty MNC,28607,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Consumption,10,Nifty Consumption,Nifty Consumption,11390.75,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Pvt Bank,9,Nifty Pvt Bank,Nifty Pvt Bank,25461.15,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty CPSE,8,Nifty CPSE,Nifty CPSE,6490.4,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 11 15Yr,1,Nifty GS 11 15Yr,Nifty GS 11 15Yr,3031.03,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Metal,38,Nifty Metal,Nifty Metal,8916.7,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 15YrPlus,42,Nifty GS 15YrPlus,Nifty GS 15YrPlus,3347.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty 200,37,Nifty 200,Nifty 200,13575.55,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY MID SELECT,,NIFTY MID SELECT,NIFTY MID SELECT,12569.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS Compsite,2,Nifty GS Compsite,Nifty GS Compsite,2832.36,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty GS 4 8Yr,13,Nifty GS 4 8Yr,Nifty GS 4 8Yr,2958.65,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY IND DIGITAL,,NIFTY IND DIGITAL,NIFTY IND DIGITAL,9538.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Tata 25 Cap,,Nifty Tata 25 Cap,Nifty Tata 25 Cap,16720.5,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Multi Mfg,,Nifty Multi Mfg,Nifty Multi Mfg,14745.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|NIFTY OIL AND GAS,,NIFTY OIL AND GAS,NIFTY OIL AND GAS,10923.95,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty MidSml Hlth,,Nifty MidSml Hlth,Nifty MidSml Hlth,41703.6,,,,,INDEX,,NSE_INDEX
NSE_INDEX|Nifty Multi Infra,,Nifty Multi Infra,Nifty Multi Infra,13636.2,,,,,INDEX,,NSE_INDEX
NSE_EQ|DUMMYSAN005,14747,011NSETEST,011NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN006,14751,021NSETEST,021NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN007,14753,031NSETEST,031NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN008,14755,041NSETEST,041NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN009,14758,051NSETEST,051NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN010,14762,061NSETEST,061NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN011,14764,071NSETEST,071NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN012,14767,081NSETEST,081NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN013,14769,091NSETEST,091NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE338I07156,23700,0MOFSL26,SEC RE NCD SR II,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE338I07099,23704,0MOFSL27,SEC RE NCD SR IV,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE020B08FJ3,25706,0RL34,REC LTD 0% 2034 SR 239,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SF0,23289,0SCL26,SEC RE NCD SR III,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SK0,23299,0SCL27,SEC RE NCD SR VI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE244L07556,15249,1003ICCL28,SEC RE NCD 10.50% SR.VII,1019,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U07301,24141,1003IIFL29,SEC RE NCD 10.03% SR V,990,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U07269,20779,1003ISFL28,SEC RE NCD 10.03% SR 5,930.27,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SX3,23315,1003SCFL31,SEC RE NCD 10.03% SR X,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07PN0,18874,1003SCL30,SEC RE NCD 10.00% SR IX,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07QX7,20116,1003SCL30A,SEC RE NCD 10.03% SR X,924.9,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07TW3,23967,1003SCL31,SEC RE NCD 10.03% SR X,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07UR1,25566,1003SCL31A,SEC RE NCD 10.03% SR X,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE157D07EG0,21601,1010CLIX25,CLIX CAP SER 10.10% 2025,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE389Z07054,24549,10157PCP27,PCPL 10.157% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE157D07EF2,21331,1015CLIX25,CLIX CAP SER 10.15% 2025,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE804IA7014,7975,1015ECL29,SEC RED NCD 10.15% SR. VI,991.99,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SS3,23303,1015SCFL29,SEC RE NCD 10.15% SR VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07QR9,20102,1015SCL28,SEC RE NCD 10.15% SR VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07OH5,14710,1015SCL28A,SEC RE NCD 10.15% SR.VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07OW4,17542,1015SCL28B,SEC RE NCD 10.15% SR VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07TR3,23952,1015SCL29,SEC RE NCD 10.15% SR VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07UK6,25558,1015SCL29B,SEC RE NCD 10.15% SR VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07505,25912,1015UCL26,SEC RE NCD 10.15% SR I,971.1,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|IN0020010081,6833,1018GS2026,GOI LOAN 10.18% 2026,111.9,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN014,14772,101NSETEST,101NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE157D07EJ4,27134,1020CCSP27,CCSP 10.20% 2027 SR 02,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE244L07507,15231,1025ICCL26,SEC RE NCD 10.25% SR.IV,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07379,17345,1025NFL25,SEC RE NCD 10.25% SR.II,994,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SV7,23317,1025SCFL34,SEC RE NCD 10.25% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07RV9,21030,1025SCL33,SEC RE NCD 10.25% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07PP5,18897,1025SCL33A,SEC RE NCD 10.25% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SQ7,23323,1025SCL34,SEC RE NCD 10.25% SR XII,955,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07TN2,23974,1025SCL34A,SEC RE NCD 10.25% SR XII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07UV3,25575,1025SCL34B,SEC RE NCD 10.25% SR XII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07UT7,25568,1025SCL34C,SEC RE NCD 10.25% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07414,22835,1025UCL25,SEC RE NCD 10.25% SR I,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07521,25914,1025UCL26A,SEC RE NCD 10.25% SR II,997,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE244L07309,14028,1030ICC26,SEC RE NCD SR.V,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE244L07283,14034,1030ICCL28,SEC RE NCD 10.30% SR.VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE157D07EH8,23390,1035CCSP26,CCSPL 10.35% 2026,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE157D07EI6,23604,1035CCSP27,CCSPL 10.35% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07307,11227,1035UCL24,SEC RED NCD 10.35% SR. II,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07448,22839,1035UCL26,SEC RE NCD 10.35% SR III,874.66,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07437,23119,1040NFL26,SEC RE NCD 10.40% SR.II,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07265,9360,1040UCL25,SEC RED NCD 10.40% SR.III,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07513,25916,1040UCL27B,SEC RE NCD 10.40% SR III,1005,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U08119,22923,1048IIFL27,IIFL SAMASTA10.48% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE614X07456,9528,1049DLS25A,SEC RE NCD 10.49% SR.VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE614X07381,8067,1049DLSL25,SEC RE NCD 10.49% SR.VII,999,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE244L07531,15240,1050ICCL28,SEC RE NCD SR.VI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U07319,24143,1050IIFL29,SEC RE NCD 10.50% SR VI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U07251,20784,1050ISFL28,SEC RE NCD 10.50% SR 6,987.05,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07387,17349,1050NFL26,SEC RE NCD 10.50% SR.IV,987.13,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SM6,23311,1050SCFL31,SEC RE NCD 10.5% SR IX,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07QV1,20111,1050SCL30,SEC RE NCD 10.5% SR IX,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07TK8,23964,1050SCL31,SEC RE NCD 10.5% SR IX,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07UP5,25564,1050SCL31A,SEC RE NCD 10.50% SR IX,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07315,11230,1050UCL25,SEC RED NCD 10.50% SR.III,999.9,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE866I08295,19047,105IIFL29,UNSEC RED NCD 10.5% SR.VI,970.76,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07463,22841,105UCL2026,SEC RE NCD 10.5% SR IV,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE804IA7022,7986,1060ECL29,SEC RED NCD 10.6% SR. VII,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07460,23123,1065NFL27,SEC RE NCD 10.65% SR.IV,994.99,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07395,17347,1075NFL25,SEC RE NCD 10.75% SR.III,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SR5,23319,1075SCFL34,SEC RE NCD 10.75% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07RW7,21042,1075SCL33,SEC RE NCD 10.75% SR XI,993.5,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07PT7,18902,1075SCL33A,SEC RE NCD 10.75% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07QY5,20118,1075SCL33B,SEC RE NCD 10.25% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07TP7,23970,1075SCL34,SEC RE NCD 10.75% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07UW1,25570,1075SCL34C,SEC RE NCD 10.75% SR XI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07430,22837,1075UCL25,SEC RE NCD 10.75% SR II,1041.39,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U08127,23024,1077IIFL30,IIFL SAMASTA 10.77% 2030,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07452,23121,1090NFL26,SEC RE NCD 10.90% SR.III,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE0CU607015,24037,1092GPUI25,GPU 10.9277% 2025 SR 1,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE741K07496,12465,10CAGL27,SEC RE NCD 10% SR. V,1023.9,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE321N07293,14049,10IFSL26,SEC RE NCD 10% SR.IV,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U08135,24319,10IIFL26,IIFL SAMASTA 10% 2026,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE477L08147,5212,10IIFL28,UNSEC RE NCD 10% SR.I,930.06,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE530B08094,2871,10IIFL28A,UNSE RE NCD 10% SR.I,970,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE866I08279,19045,10IIFL29,UNSEC RED NCD 10.0% SR. V,1000,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U07293,24139,10IIFLSF27,SEC RE NCD 10.00% SR IV,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE413U07277,20771,10ISFL26,SEC RE NCD 10% SR 4,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07478,23117,10NFL25,SEC RE NCD 10.00% SR. I,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE530L07228,17866,10NIDO26,SEC RED NCD 10% SR. VI,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07PO8,18868,10SCL30A,SEC RE NCD 9.71% SR VIII,880,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07SU9,23309,10SCL31,SEC RE NCD 10% SR IX,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE148I07TO0,23961,10SCL31A,SEC RE NCD 10% SR IX,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07403,17352,1102NFL26,SEC RE NCD 11.02% SR.V,1011,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE342T07445,23125,1119NFL27,SEC RE NCD 11.19% SR.V,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN015,14774,111NSETEST,111NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07195,25816,116VCCL26,VCCL 11.6% 2026 SR A,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE757O07049,23048,1175PPPL27,PRESTIGE 11.75% 2027,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07187,25814,1180VCCL26,VCCL 11.80% 2026 SR B,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07120,24223,1190VCCL26,VCCL 11.90% 2026,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07146,24828,119VCCL26,VEDIKA CREDIT 11.9% 2026,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE614X07365,8059,11DLSL25,SEC RE NCD 11% SR.V,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE614X07449,9518,11DLSL25A,SEC RE NCD 11% SR.V,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN001,12841,11NSETEST,11NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE583D07455,22843,11UCL26,SEC RE NCD 11% SR V,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN016,14777,121NSETEST,121NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07138,24326,1278VCCL25,VCCL 12.78% 2025,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07161,25464,12VCCL27,VCCL 12% 2027 SR A,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07179,25812,12VCCL27A,VCCL 12% 2027 SR C,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07153,25466,12VCCL29,VCCL 12% 2029 SR B,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN017,14778,131NSETEST,131NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE04HY07096,23414,135VCCL25,VCCL 13.50% 2025,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN018,14781,141NSETEST,141NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN019,14782,151NSETEST,151NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN020,14784,161NSETEST,161NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|INE03UZ07015,24693,1650RARL27,RARL 16.50% 2027 SR III,0,,,0.01,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN021,23446,171NSETEST,171NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|DUMMYSAN022,23447,181NSETEST,181NSETEST,0,,,0.05,1,EQUITY,,NSE_EQ
NSE_EQ|IN002024Y290,25971,182D010525,GOI TBILL 182D-01/05/25,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN002024Y142,24345,182D020125,GOI TBILL 182D-02/01/25,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN002024Y258,25682,182D040425,GOI TBILL 182D-04/04/25,0,,,0.01,100,EQUITY,,NSE_EQ
NSE_EQ|IN002024Y100,23993,182D051224,GOI TBILL 182D-05/12/24,0,,,0.01,100,EQUITY,,NSE_EQ
